97 0.012985 0.032482 2.338888 2.260774
5372	5345
174	374
225	368
4867	5071
5865	5499
12435	12132
2850	2818
2826	2794
8382	7769
10332	9335
10248	10409
4803	4362
1621	1584
1639	1592
8763	7852
4741	4515
3891	3617
3583	3542
7949	8038
10651	10274
7574	7715
171	184
8693	8186
76	56
9421	8976
7449	6907
11589	11052
7270	6894
2017	1903
3297	3231
10678	9773
1972	2100
4660	4308
2776	2509
7062	6153
2526	2368
3909	3744
8582	9869
4340	3882
8930	9902
6620	5699
5563	4794
4873	4292
3593	3606
1186	1153
10237	9188
1140	1107
11721	11148
9464	8978
10059	9734
3596	3553
7054	7015
10502	10316
7914	7444
7337	6945
6585	6758
11627	11184
3277	3139
9580	9223
8659	8361
9080	8434
8619	8056
9957	9082
9379	9489
81	47
8472	7984
8325	7636
18	18
3250	3153
2084	2011
4937	4684
1541	1518
10999	10235
6478	5754
12278	11796
1566	1647
12319	11608
3827	3651
6652	5864
10821	10388
3218	3198
4199	3917
2593	2597
3052	3023
2092	1998
1150	1178
3159	2781
11560	11180
2449	2371
7749	7038
8375	8690
4775	4450
9637	8488
6651	5988
1953	1896
2135	2035
1307	1260
