99 0.033178 -1.000000 3.000000 3.000000
179661	192911
184539	190693
183553	192485
184958	189391
183727	190403
142727	141808
120852	169701
174159	45448
66128	185223
100085	179954
185219	165522
80394	67399
111287	176956
52886	135987
92072	129451
123145	91686
33973	158032
140960	69708
168413	176776
178631	186050
58546	93479
46496	40062
70052	115166
180776	164724
164326	127725
132121	14437
160127	168546
128893	143852
155924	173345
32134	36641
139348	89311
20269	6892
182703	172076
54581	106779
85550	12171
129478	82042
185314	192672
92962	180703
71553	112394
186103	180748
159507	179312
185042	60887
115834	155477
186011	192621
183693	192474
138420	63558
102355	191799
128529	160683
64385	104819
87653	127849
51938	138800
17610	36063
96675	88789
124270	141980
146749	143694
185818	179489
176426	159020
149975	171022
165784	183757
34827	40675
70418	113056
148580	154225
166904	168004
63369	109226
42852	80868
129361	131263
141474	74629
120135	87545
108164	30803
184442	155094
4799	46700
104100	3018
132468	75083
114210	42830
69730	126021
180449	191961
95525	139341
93006	148187
88412	126036
50573	98287
179393	150928
182638	191638
184507	191881
139710	92345
64301	98228
145229	174359
160281	146268
140982	145566
169176	186873
159416	149201
10007	17614
137534	119801
147243	85552
162697	168482
142005	90104
72517	124556
60167	142906
185453	169323
127645	94364
