97 0.028697 0.031465 2.338888 2.260774
5372	5291
174	174
225	225
4867	4925
5865	5765
12435	12463
2850	2673
2826	2687
8382	8551
10332	9143
10248	10331
4803	4458
1621	1583
1639	1547
8763	9148
4741	4897
3891	4070
3583	3609
7949	7456
10651	10914
7574	7388
171	54
8693	8270
76	56
9421	9382
7449	7433
11589	11090
7270	7409
2017	1915
3297	3557
10678	10277
1972	1991
4660	5005
2776	2943
7062	7062
2526	2399
3909	4545
8582	9481
4340	4410
8930	9747
6620	6580
5563	4655
4873	5281
3593	4013
1186	1099
10237	9681
1140	1084
11721	11961
9464	9554
10059	10462
3596	4152
7054	6693
10502	10634
7914	7573
7337	7357
6585	6397
11627	11658
3277	3493
9580	10210
8659	8079
9080	8357
8619	8264
9957	10233
9379	9541
81	502
8472	9154
8325	8502
18	74
3250	3539
2084	2058
4937	5324
1541	1493
10999	10622
6478	6480
12278	12358
1566	1514
12319	11963
3827	3736
6652	6211
10821	10310
3218	3428
4199	3645
2593	2974
3052	3125
2092	1932
1150	1166
3159	2917
11560	11537
2449	2461
7749	7710
8375	8374
4775	4791
9637	9445
6651	6554
1953	1904
2135	1865
1307	1169
