99 0.028113 -1.000000 3.000000 3.000000
179661	192926
184539	190684
183553	192485
184958	190262
183727	187428
142727	141912
120852	110946
174159	63222
66128	170948
100085	183412
185219	165645
80394	77894
111287	173580
52886	142186
92072	183866
123145	91638
33973	157975
140960	47381
168413	167064
178631	171217
58546	93314
46496	88963
70052	115126
180776	87406
164326	142107
132121	14596
160127	153490
128893	143858
155924	173416
32134	35705
139348	66894
20269	6674
182703	191068
54581	106664
85550	1873
129478	145888
185314	192476
92962	113540
71553	112541
186103	180748
159507	162511
185042	60873
115834	155672
186011	189053
183693	192474
138420	42942
102355	157724
128529	150518
64385	104857
87653	164416
51938	138828
17610	51081
96675	90432
124270	66562
146749	143694
185818	182201
176426	159018
149975	175770
165784	189302
34827	36052
70418	113157
148580	171980
166904	167935
63369	104741
42852	80826
129361	102136
141474	64450
120135	24970
108164	31362
184442	145783
4799	46684
104100	53034
132468	74953
114210	50220
69730	121499
180449	191961
95525	132791
93006	136453
88412	125215
50573	98190
179393	150149
182638	190857
184507	188746
139710	189614
64301	97678
145229	174248
160281	134723
140982	150246
169176	186873
159416	143830
10007	17630
137534	128388
147243	85408
162697	165606
142005	72113
72517	124441
60167	104074
185453	172016
127645	95041
